ticker,year,entity_type,revenue,net_income,total_assets,total_liabilities,equity_parent,equity_total,cfo,avg_assets,avg_equity_parent,avg_equity_total,ROE,ROA,Debt_to_Equity,Asset_Turnover,CFO_Margin,revenue_yoy,net_income_yoy,assets_yoy,equity_negative
AADI,2023,NONBANK,5915408.0,1285891.0,7062916.0,2272452.0,4366000.0,4790464.0,,,,,,,0.47436991489759656,,,,,,False
AADI,2024,NONBANK,5319582.0,1326736.0,5992658.0,2629176.0,2998891.0,3363482.0,,6527787.0,3682445.5,4076973.0,0.3602866627625582,0.2032443766930508,0.7816827918210949,0.8149135380795973,,-0.10072441326109711,0.031763967552459735,-0.1515320301133413,False
ADMR,2023,NONBANK,1085961921.0,441021896.0,1695419616.0,657370421.0,976331197.0,1038049195.0,,,,,,,0.6332748237428188,,,,,,False
ADMR,2024,NONBANK,1154182707.0,436656873.0,2073594757.0,571331203.0,1411313792.0,1502263554.0,,1884507186.5,1193822494.5,1270156374.5,0.36576364996613825,0.23170878632252964,0.3803135618106062,0.6124586391965983,,0.06282060602749256,-0.00989751991814937,0.2230569573638813,False
ADRO,2023,NONBANK,2135412.0,1854878.0,10472711.0,3063961.0,6772664.0,7408750.0,,,,,,,0.41355977729036614,,,,,,False
ADRO,2024,NONBANK,2078689.0,1556132.0,6702127.0,1331295.0,4926856.0,5370832.0,,8587419.0,5849760.0,6389791.0,0.2660163835781297,0.18121067575717453,0.24787500335143606,0.24206213764578158,,-0.026563023903583945,-0.16105964920603943,-0.36003896221331805,False
AKRA,2023,NONBANK,42086952436.0,3078469701.0,30296571806.0,16253614293.0,11262624208.0,14042957513.0,,,,,,,1.1574210260163165,,,,,,False
AKRA,2024,NONBANK,38729493298.0,2399467512.0,33108684368.0,18484691894.0,11562536639.0,14623992474.0,,31702628087.0,11412580423.5,14333474993.5,0.21024758844714747,0.07568670664827082,1.2639976344944062,1.2216492964468595,,-0.07977434676710218,-0.22056484388312647,0.09281949720275226,False
AMRT,2023,NONBANK,106944683.0,3484025.0,34246183.0,18540983.0,14473429.0,15705200.0,,,,,,,1.1805633166085119,,,,,,False
AMRT,2024,NONBANK,118227031.0,3220083.0,38798382.0,21102439.0,16377674.0,17695943.0,,36522282.5,15425551.5,16700571.5,0.2087499432354169,0.08816762752985112,1.1925015242194215,3.2371205441499993,,0.10549704467308581,-0.07575778015370153,0.132925733650375,False
ASII,2023,NONBANK,316565.0,44501.0,445405.0,194981.0,198640.0,250424.0,,,,,,,0.7786034884835319,,,,,,False
ASII,2024,NONBANK,330920.0,43424.0,472925.0,201429.0,213165.0,271496.0,,459165.0,205902.5,260960.0,0.21089593375505397,0.09457166813672645,0.741922532928662,0.7206995306698027,,0.0453461374441268,-0.024201703332509383,0.06178646400466991,False
BBCA,2023,BANK,,,1408107010.0,1157675545.0,242356256.0,242537593.0,58063775.0,,,,,,4.773179822065769,,,,,,False
BBCA,2024,BANK,,,1449301328.0,1177403108.0,262640621.0,262835087.0,53820229.0,1428704169.0,252498438.5,252686340.0,,,4.479626831557691,,,,,0.029255104695487595,False
BBNI,2023,BANK,,,1086663986.0,931931466.0,150131014.0,154732520.0,10392864.0,,,,,,6.022854575108064,,,,,,False
BBNI,2024,BANK,,,1129805637.0,962619084.0,162457581.0,167186553.0,-63217913.0,1108234811.5,156294297.5,160959536.5,,,5.75775423756718,,,,,0.039701003765482294,False
BBRI,2023,BANK,,,1965007030.0,1648534888.0,311363556.0,316472142.0,-4971454.0,,,,,,5.20909953584477,,,,,,False
BBRI,2024,BANK,,,1992983447.0,1669794400.0,317093838.0,323189047.0,24100898.0,1978995238.5,314228697.0,319830594.5,,,5.166618162031957,,,,,0.014237311405445709,False
BBYB,2023,BANK,,,18169541.0,14846502.0,3323039.0,3323039.0,-2173945.0,,,,,,4.467748347220722,,,,,,False
BBYB,2024,BANK,,,17409065.0,13847228.0,3561837.0,3561837.0,120567.0,17789303.0,3442438.0,3442438.0,,,3.8876647078459796,,,,,-0.041854442002690104,False
BDMN,2023,BANK,,,221304532.0,171345164.0,49236617.0,49959368.0,-6377996.0,,,,,,3.4296903835933232,,,,,,False
BDMN,2024,BANK,,,242334540.0,190508983.0,51067632.0,51825557.0,-28007.0,231819536.0,50152124.5,50892462.5,,,3.6759659524739887,,,,,0.0950274619771456,False
BMRI,2023,BANK,,,2174219449.0,1660442815.0,260852784.0,287494962.0,-58192837.0,,,,,,5.775554477368546,,,,,,False
BMRI,2024,BANK,,,2427223262.0,1860408316.0,283796429.0,313474681.0,-26186927.0,2300721355.5,272324606.5,300484821.5,,,5.934796105590422,,,,,0.116365352686163,False
BMTR,2023,BANK,,,35268302.0,7618296.0,15581198.0,27650006.0,1573858.0,,,,,,0.2755260161607198,,,,,,False
BMTR,2024,BANK,,,36243772.0,7164262.0,16329423.0,29079510.0,1897818.0,35756037.0,15955310.5,28364758.0,,,0.2463680440282522,,,,,0.02765854732671848,False
BNGA,2023,BANK,,,334369233.0,285031862.0,49192544.0,49337371.0,-1796976.0,,,,,,5.777200045782739,,,,,,False
BNGA,2024,BANK,,,360220510.0,307024183.0,52999187.0,53196327.0,8221937.0,347294871.5,51095865.5,51266849.0,,,5.7715297336223985,,,,,0.07731356371535536,False
BRIS,2023,BANK,,,353624124.0,87999161.0,38739121.0,38739121.0,2041035.0,,,,,,2.2715838338200807,,,,,,False
BRIS,2024,BANK,,,408613432.0,106647971.0,45041572.0,45041572.0,6812261.0,381118778.0,41890346.5,41890346.5,,,2.367767514863824,,,,,0.1555021398936007,False
BRPT,2023,NONBANK,2760359.0,99776.0,10149666.0,6037737.0,1688393.0,4111929.0,,,,,,,1.4683466081247998,,,,,,False
BRPT,2024,NONBANK,2386995.0,122896.0,10532564.0,6344579.0,1727829.0,4187985.0,,10341115.0,1708111.0,4149957.0,0.07194848578341806,0.011884211712179973,1.5149478806633738,0.23082568949286417,,-0.135259218094458,0.23171905067350865,0.03772518228678658,False
BSDE,2023,NONBANK,11539141250155.0,2259456837723.0,66827648486393.0,25626062282715.0,36470759665574.0,41201586203678.0,,,,,,,0.6219678571604945,,,,,,False
BSDE,2024,NONBANK,13796572148837.0,4917670536213.0,76023348886846.0,28704020732842.0,40861177480477.0,47319328154004.0,,71425498686619.5,38665968573025.5,44260457178841.0,0.12718343074544652,0.06885034933797742,0.6066024572331795,0.1931603195291597,,0.1956324868327335,1.1764835044022584,0.13760323172714012,False
CPIN,2023,NONBANK,61615850.0,2318584.0,40970800.0,13942042.0,27012497.0,27028758.0,,,,,,,0.5158225176310358,,,,,,False
CPIN,2024,NONBANK,67477992.0,3712926.0,42791000.0,12502078.0,30273959.0,30288922.0,,41880900.0,28643228.0,28658840.0,0.129626660793958,0.08865439854444389,0.41276074467093943,1.611187725192152,,0.09514016279902006,0.6013765298130238,0.044426762474738105,False
ERAA,2023,NONBANK,60139405675.0,856860760.0,20447451702.0,12316678087.0,7323401069.0,8130773615.0,,,,,,,1.5148224105363928,,,,,,False
ERAA,2024,NONBANK,65279684667.0,1119485707.0,21774390259.0,12716995986.0,8134252811.0,9057394273.0,,21110920980.5,7728826940.0,8594083944.0,0.14484548763877483,0.053028747918390705,1.404045755621927,3.0922234386315197,,0.08547272681374067,0.3064966436320412,0.06489505765015256,False
EXCL,2023,NONBANK,32322651.0,1284448.0,87688084.0,61183308.0,26360361.0,26504776.0,,,,,,,2.308388042970067,,,,,,False
EXCL,2024,NONBANK,34391597.0,1847631.0,86178565.0,59956193.0,26060392.0,26222372.0,,86933324.5,26210376.5,26363574.0,0.07049234870777228,0.021253426239324368,2.286451927384754,0.3956089013943094,,0.06400916805988469,0.43846305961782805,-0.01721464229963104,False
GGRM,2023,NONBANK,118952997.0,5324516.0,92450823.0,31587980.0,60862772.0,60862843.0,,,,,,,0.5190027025191708,,,,,,False
GGRM,2024,NONBANK,98655483.0,980805.0,84939276.0,23022685.0,61916521.0,61916591.0,,88695049.5,61389646.5,61389717.0,0.015976716855667185,0.011058170726879181,0.37183385952240167,1.1122997682074691,,-0.17063474239324966,-0.8157945247981225,-0.08124910905336126,False
HMSP,2023,NONBANK,115983384.0,8096811.0,55316264.0,25446411.0,29869853.0,29869853.0,,,,,,,0.8519094821122822,,,,,,False
HMSP,2024,NONBANK,117880017.0,6645774.0,54290706.0,25934279.0,28356427.0,28356427.0,,54803485.0,29113140.0,29113140.0,0.22827403708428565,0.1212655363066783,0.9145820451920829,2.1509584107653006,,0.01635262685558476,-0.1792109263758287,-0.018539899946966774,False
ICBP,2023,NONBANK,67909901.0,8465123.0,119267076.0,57163043.0,40750169.0,62104033.0,,,,,,,0.9204401105480541,,,,,,False
ICBP,2024,NONBANK,72597188.0,8813377.0,126040905.0,58997020.0,45217376.0,67043885.0,,122653990.5,42983772.5,64573959.0,0.20503963443413442,0.07185560750263563,0.8799761529332616,0.5918860666828447,,0.0690221445029054,0.04113986294115277,0.05679546465950083,False
INCO,2023,NONBANK,1232263.0,274334.0,2925999.0,361462.0,2564537.0,2564537.0,,,,,,,0.14094629946848106,,,,,,False
INCO,2024,NONBANK,950388.0,57761.0,3176528.0,443752.0,2732776.0,2732776.0,,3051263.5,2648656.5,2648656.5,0.021807659845661374,0.01893019072263015,0.16238140264697876,0.3114735911860775,,-0.22874581156782278,-0.7894500863910415,0.08562169706824917,False
INDF,2023,NONBANK,111703611.0,11493733.0,186587957.0,86123066.0,59193013.0,100464891.0,,,,,,,0.8572454032722735,,,,,,False
INDF,2024,NONBANK,115786525.0,13077496.0,201713313.0,92722030.0,65113504.0,108991283.0,,194150635.0,62153258.5,104728087.0,0.21040724678980427,0.06735747220193228,0.8507288605823642,0.5963746912287977,,0.036551316143217605,0.13779361326733447,0.08106287374163168,False
ITMG,2023,NONBANK,2374315.0,500331.0,2187847.0,399307.0,1787579.0,1788540.0,,,,,,,0.2232586355351292,,,,,,False
ITMG,2024,NONBANK,2304497.0,375601.0,2406544.0,472734.0,1928067.0,1933810.0,,2297195.5,1857823.0,1861175.0,0.20217265046239605,0.16350415103982224,0.244457314834446,1.0031784408423228,,-0.029405533806592637,-0.2492949667320234,0.09995991493006595,False
KLBF,2023,NONBANK,30449134077618.0,2778404819501.0,27057568182323.0,3937546172108.0,21418856503057.0,23120022010215.0,,,,,,,0.1703089283551847,,,,,,False
KLBF,2024,NONBANK,32627776108026.0,3246569754197.0,29429727898195.0,4839294087709.0,22788879435410.0,24590433810486.0,,28243648040259.0,22103867969233.5,23855227910350.5,0.14687790203578482,0.11494866915099924,0.1967957997408488,1.155225276193705,,0.07155021304889707,0.16850133983718116,0.08767083944453506,False
MAPI,2023,NONBANK,33318811.0,2345293.0,27516859.0,15105159.0,9997580.0,12411700.0,,,,,,,1.217009676353763,,,,,,False
MAPI,2024,NONBANK,37835891.0,2147416.0,29525113.0,15074202.0,11701843.0,14450911.0,,28520986.0,10849711.5,13431305.5,0.19792378811178526,0.07529248813487724,1.0431316060281597,1.3265982809991212,,0.1355714644199038,-0.08437197399216217,0.07298267582066689,False
MEDC,2023,NONBANK,2249337578.0,388187052.0,7468316269.0,5440720277.0,1828543298.0,2027595992.0,,,,,,,2.6833354861948258,,,,,,False
MEDC,2024,NONBANK,2399190555.0,381710656.0,7926890365.0,5575858796.0,2118726151.0,2351031569.0,,7697603317.0,1973634724.5,2189313780.5,0.19340491493262638,0.049588247182990035,2.371664791541555,0.31168020177156136,,0.06662093696635872,-0.016683699177065803,0.06140260796178127,False
MEGA,2023,BANK,,,132049591.0,110294148.0,21755443.0,21755443.0,-10338799.0,,,,,,5.0697265966958245,,,,,,False
MEGA,2024,BANK,,,134915494.0,113733293.0,21182201.0,21182201.0,15463034.0,133482542.5,21468822.0,21468822.0,,,5.369285892433935,,,,,0.021703232689300793,False
NISP,2023,BANK,,,249757139.0,212436871.0,37319892.0,37320268.0,790289.0,,,,,,5.692265419958935,,,,,,False
NISP,2024,BANK,,,281008237.0,240316858.0,40691003.0,40691379.0,36996784.0,265382688.0,39005447.5,39005823.5,,,5.905842070380559,,,,,0.12512594484836728,False
PNBN,2023,BANK,,,222010050.0,158149035.0,49704816.0,53312485.0,3871484.0,,,,,,2.966454011663497,,,,,,False
PNBN,2024,BANK,,,243958575.0,176226996.0,52324350.0,56069616.0,19021692.0,232984312.5,51014583.0,54691050.5,,,3.1430034405800105,,,,,0.09886275418612805,False
PTBA,2023,NONBANK,38488867.0,6292521.0,38765189.0,17201993.0,21434538.0,21563196.0,,,,,,,0.797747838492958,,,,,,False
PTBA,2024,NONBANK,42764968.0,5139423.0,41854334.0,19210522.0,22505288.0,22643812.0,,40309761.5,21969913.0,22103504.0,0.23393005698292935,0.12749822397237454,0.8483784444067987,1.0609084849087982,,0.11109968500761531,-0.18324897127876094,0.07968863507927176,False
PTPP,2023,BANK,,,56525042574560.0,41381651241881.0,11722271216204.0,15143391332679.0,436303933866.0,,,,,,2.732654154725606,,,,,,False
PTPP,2024,BANK,,,56589716015594.0,41334800497742.0,12118544982037.0,15254915517852.0,285584131868.0,56557379295077.0,11920408099120.5,15199153425265.5,,,2.709605336677881,,,,,0.001144155547493693,False
SCMA,2023,NONBANK,6513197417.0,334608874.0,11052506174.0,2569934269.0,7488759920.0,8482571905.0,,,,,,,0.3029663995521415,,,,,,False
SCMA,2024,NONBANK,7057824443.0,594853668.0,10815251239.0,2459004658.0,7483329711.0,8356246581.0,,10933878706.5,7486044815.5,8419409243.0,0.0794616760466547,0.05440463388773189,0.29427143325224,0.6455005247867115,,0.08361899557634735,0.7777581953788829,-0.021466166249073926,False
SSMS,2023,BANK,,,11810444633.0,9820482573.0,1750607310.0,1989962060.0,594224534.0,,,,,,4.935009953405845,,,,,,False
SSMS,2024,BANK,,,11764842337.0,8873484995.0,2628478572.0,2891357342.0,1963899618.0,11787643485.0,2189542941.0,2440659701.0,,,3.068968634939486,,,,,-0.0038611836740321307,False
TBIG,2023,NONBANK,6640645.0,1804519.0,46553107.0,34192080.0,11714094.0,12361027.0,,,,,,,2.7661196759783793,,,,,,False
TBIG,2024,NONBANK,6867399.0,1476550.0,47317150.0,36751627.0,9897621.0,10565523.0,,46935128.5,10805857.5,11463275.0,0.13664348248160776,0.03145937908745685,3.478448440271248,0.14631682536034818,,0.03414638186501462,-0.18174870976697946,0.016412288013343556,False
TLKM,2023,NONBANK,149216.0,32208.0,287042.0,130480.0,135744.0,156562.0,,,,,,,0.8334078512027184,,,,,,False
TLKM,2024,NONBANK,149967.0,30743.0,299675.0,137185.0,142094.0,162490.0,,293358.5,138919.0,159526.0,0.22130162180839194,0.10479669073846505,0.8442673395285863,0.5112072771029303,,0.005032972335406391,-0.04548559364133135,0.044010980971425785,False
TOWR,2023,NONBANK,11740345.0,3303642.0,68418946.0,51907282.0,16456392.0,16511664.0,,,,,,,3.14367358735013,,,,,,False
TOWR,2024,NONBANK,12735815.0,3364606.0,77828380.0,58659171.0,19098622.0,19169209.0,,73123663.0,17777507.0,17840436.5,0.18926197019638355,0.04601254726530863,3.060072588284681,0.17416817590223838,,0.08479052361749165,0.018453573359340995,0.1375267312653428,False
UNTR,2023,NONBANK,128583264.0,22130096.0,153753903.0,69712261.0,79250552.0,84041642.0,,,,,,,0.8294966559553894,,,,,,False
UNTR,2024,NONBANK,134426998.0,20118529.0,169480618.0,71305445.0,92947394.0,98175173.0,,161617260.5,86098973.0,91108407.5,0.23366746778733355,0.12448255178783951,0.7263083203326772,0.8317613946933595,,0.04544708088915833,-0.09089734631065315,0.10228498069411611,False
UNVR,2023,NONBANK,38611401.0,4800940.0,16664086.0,13282848.0,3381238.0,3381238.0,,,,,,,3.9283978235190777,,,,,,False
UNVR,2024,NONBANK,35138643.0,3368693.0,16046195.0,13896928.0,2149267.0,2149267.0,,16355140.5,2765252.5,2765252.5,1.2182225673785667,0.20597151091425964,6.465891859875948,2.148476988014869,,-0.08994125854174523,-0.29832636941932206,-0.03707920134353603,False
WIKA,2023,NONBANK,22530355784.0,-7824538997.0,65981235888.0,56409622846.0,5749878346.0,9571613042.0,,,,,,,5.893429101080035,,,,,,False
WIKA,2024,NONBANK,19242726731.0,-2513814334.0,63553125266.0,51681705473.0,8868680798.0,11871419793.0,,64767180577.0,7309279572.0,10721516417.5,-0.3439209444977021,-0.038813088845381996,4.353456147130286,0.29710613553916904,,-0.14591997944989044,-0.6787268444870913,-0.036800017297669324,False
WSBP,2023,NONBANK,1496422947848.0,6300283809.0,4473145720502.0,5137639812056.0,-664494091554.0,-664494091554.0,,,,,,,-7.731656123594728,,,,,,True
WSBP,2024,NONBANK,1971896434453.0,-997301850759.0,3618630656515.0,5176443655122.0,-1557812998607.0,-1557812998607.0,,4045888188508.5,-1111153545080.5,-1111153545080.5,0.8975373882164487,-0.2464976302586976,-3.322891553575935,0.48738282982059655,,0.317740039531455,-159.29475004512452,-0.19103224383468148,True
WSKT,2023,NONBANK,10954693035464.0,-4018265010703.0,95595897457967.0,83994385906808.0,5281783448196.0,11601511551159.0,,,,,,,7.239951926645015,,,,,,False
WSKT,2024,NONBANK,10705154901932.0,-3913600848372.0,77159736864177.0,69275555503364.0,2807133710363.0,7884181360813.0,,86377817161072.0,4044458579279.5,9742846455986.0,-0.967645179609971,-0.04530793873934276,8.786651693184853,0.12393407536531852,,-0.02277910779646328,-0.026047102929303532,-0.1928551442481753,False
